website,province,town,location,name,price,rental_deposit,area,rooms,floor,is_outer,elevator,description,meta,update_date,dealer,is_professional,phone,insert_date
BC143FA6747D34D82A82073AAF7A42D2,Madrid,Madrid,Calle de Goya - Barrio Goya - Distrito Barrio de Salamanca,Alquiler de Ático en calle de Goya,2100,2.0,180,2,7.0,True,True,Piso de 2 habitaciones en Goya. Reformado con excelentes calidades. Listo para entrar a vivir.,"{'wcs': 2, 'has_terrace': True, 'has_garage': False, 'second_hand': True, 'built_in_wardrobes': False, 'heating': True, 'energy cert': 'B', 'air_conditioning': True, 'has_swimming_pool': False, 'has_green_areas': False}",2020-12-11,Gilmar Barrio de Salamanca,True,911362248,2020-12-19 00:00:00
E05B9E7076C1DF224C1A3AB010DEF9CA,Barcelona,Barcelona,Calle de Balmes - Barrio Sant Gervasi - Galvany - Distrito Sarrià-Sant Gervasi,Alquiler de Piso en calle de Balmes,1250,,109,3,2.0,True,True,"Fabuloso piso señorial en la calle de Balmes, en Sant Gervasi-Galvany. Esta propiedad dispone de un salón comedor exterior, luminoso. Anexado a el, la habitación principal con balcón hacia calle Balmes.","{'wcs': 2, 'has_terrace': False, 'has_garage': False, 'second_hand': True, 'built_in_wardrobes': False, 'heating': 'natural gas', 'energy cert': 'D', 'air_conditioning': True, 'has_swimming_pool': False, 'has_green_areas': False}",2020-11-13,Proddigia,True,932937430,2020-11-04 12:00:00
BC143FA6747D34D82A82073AAF7A42D2,Sevilla,Sevilla,"Nuestra señora de Begoña, 9 - Barrio Villegas - Los Principes - Distrito Macarena","Alquiler de Piso en Nuestra señora de Begoña, 9",500,1.0,126,4,4.0,True,False,"El Apartamento esta totalmente equipado: lavavajillas, microondas, frigorífico, aire acondicionado en cada habitación, toda las habitaciones exteriores, y luminosas.","{'wcs': 1, 'has_terrace': True, 'has_garage': False, 'second_hand': True, 'built_in_wardrobes': True, 'heating': 'electric', 'energy cert': 'A', 'air_conditioning': True, 'has_swimming_pool': False, 'has_green_areas': False}",2020-09-08,CRR Gestión de la Propiedad,True,955934973,2020-10-03 00:00:00
E05B9E7076C1DF224C1A3AB010DEF9CA,Málaga,Málaga,Barrio Malagueta - Monte Sancha - Distrito Este,Alquiler de Casa o chalet independiente en Malagueta - Monte Sancha,3000,1.0,221,6,,,False,"Maravillosa casa en una de la mejores zonas de malaga, a tan solo 10 minutos de la playa de la malagueta.","{'wcs': 3, 'has_terrace': True, 'has_garage': True, 'second_hand': True, 'built_in_wardrobes': True, 'heating': 'central', 'energy cert': 'in progress', 'air_conditioning': False, 'has_swimming_pool': True, 'has_green_areas': True}",2020-12-05,Diamond Properties,True,952149084,2020-12-12 12:00:00
BC143FA6747D34D82A82073AAF7A42D2,Valencia,Valencia,"Avenida del Marqués de Sotelo, 5 - Barrio Sant Francesc - Distrito Ciutat Vella","Alquiler de Piso en avenida del Marqués de Sotelo, 5",500,1.0,330,2,8.0,False,True,Conserje en el edificio. En pleno centro de la ciudad y a un paso de la plaza del ayuntamiento y de la estación del Norte.,"{'wcs': 1, 'has_terrace': True, 'has_garage': False, 'second_hand': True, 'built_in_wardrobes': False, 'heating': False, 'energy cert': None, 'air_conditioning': False, 'has_swimming_pool': False, 'has_green_areas': False}",2020-12-10,VLC.INMOBILIARIA & FLATLANDERS,True,656998985,2020-09-18 00:00:00
